variedad;codigo;planta_bulk;fecha_ciclado;Ciclado;fecha_vidrio;SSR;1;2;3;4;5;5_1;6;7;8;1b9;1_1;1_2;2_1;9;10;11;12;13;14
NA 87-146;105;P2;22/1/2024;;23/1/2024;NKS22;1;1;0;0;0;;0;0;0;0;;;;;;;;;
NA 87-146;105;P2;30/1/2024;;31/1/2024;NKS22;1;1;0;0;0;;0;0;0;0;;;;;;;;;
NA 85-1602;106;P4;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 85-1602;106;B1;11/2/2025;;12/2/2025;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 85-1602;106;P2;22/1/2024;;23/1/2024;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 85-1602;106;P2;30/1/2024;;31/1/2024;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 72-2596;107;P3;13/2/2025;;17/2/2025;NKS22;1;1;0;0;0;;1;0;0;0;;;;;;;;;
NA 72-2596;107;P4;13/2/2025;;17/2/2025;NKS22;1;1;0;0;0;;1;0;0;0;;;;;;;;;
NA 72-2596;107;B1;11/2/2025;;12/2/2025;NKS22;1;1;0;0;0;;1;0;0;0;;;;;;;;;
NA 73-2596;107;P2;22/1/2024;;23/1/2024;NKS22;1;1;0;0;0;;1;0;0;0;;;;;;;;;
NA 72-2596;107;P2;30/1/2024;;31/1/2024;NKS22;1;1;0;0;0;;1;0;0;0;;;;;;;;;
NA 76-128;108;B1;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 76-128;108;P5;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 76-128;108;P2;22/1/2024;;23/1/2024;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 76-128;108;P2;30/1/2024;;31/1/2024;NKS22;1;1;0;1;0;;1;1;0;0;;;;;;;;;
NA 78-639;109;B1;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 78-639;109;P10;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 78-639;109;P2;22/1/2024;;23/1/2024;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 78-639;109;P2;30/1/2024;;31/1/2024;NKS22;1;1;0;1;0;;1;1;0;0;;;;;;;;;
NA 97-3152;110;B4;13/2/2025;;17/2/2025;NKS22;1;1;0;1;1;;1;0;0;0;;;;;;;;;
NA 97-3152;110;B3;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 97-3152;110;B2;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 97-3152;110;P2;22/1/2024;;23/1/2024;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 97-3152;110;P2;30/1/2024;;31/1/2024;NKS22;1;1;0;1;0;;1;1;0;0;;;;;;;;;
NA 12-166;111;B1;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 12-166;111;B2;11/2/2025;;12/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 12-166;111;P2;22/1/2024;;23/1/2024;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 12-166;111;P2;30/1/2024;;31/1/2024;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 97-567;112;B1;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;0;1;0;0;;;;;;;;;
NA 97-567;112;P3;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;0;1;0;0;;;;;;;;;
NA 97-567;112;P2;22/1/2024;;23/1/2024;NKS22;1;1;0;1;0;;0;1;0;0;;;;;;;;;
NA 97-567;112;P2;30/1/2024;;31/1/2024;NKS22;1;1;0;1;0;;0;1;0;0;;;;;;;;;
NA 96-2929;113;P2;30/1/2024;;31/1/2024;NKS22;1;1;0;1;0;;1;1;0;0;;;;;;;;;
NA 96-2929;113;P2;30/1/2024;;31/1/2024;NKS22;1;1;0;1;0;;1;1;0;0;;;;;;;;;
NA 96-2929;113;P2;30/1/2024;;31/1/2024;NKS22;1;1;0;1;0;;1;1;0;0;;;;;;;;;
