variedad,codigo,planta_bulk,fecha ciclado,fecha vidrio,SSR,1,2,3,4,5,6,7,8,1B/9,,
NA 84-3920,104,P1,27/10/23,31/10/23,NKS26,0,0,1,0,0,1,1,,,,
NA 84-3920,104,P1,30/1/24,31/1/24,NKS26,0,0,1,0,0,1,1,,,,
NA 84-3920,104,P1,23/2/24,26/2/24,NKS26,0,0,1,0,0,1,1,,,,
NA 87-146,105,P2,27/10/23,30/10/23,NKS26,0,0,1,0,1,1,0,,,,
NA 87-146,105,P1,27/10/23,31/10/23,NKS26,0,0,1,0,0,1,0,,,,
NA 87-146,105,P2,30/1/24,31/1/24,NKS26,0,0,0,0,1,1,0,,,,
NA 87-146,105,P3,23/2/24,26/2/24,NKS26,0,0,1,0,1,1,0,,,,
NA 87-146,105,P1,30/1/24,26/2/24,NKS26,0,0,1,0,1,1,0,,,,
NA 85-1602,106,P2,27/10/23,30/10/23,NKS26,0,0,1,0,1,1,0,,,,
NA 85-1602,106,P1,27/10/23,31/10/23,NKS26,0,0,1,0,0,1,0,,,,
NA 85-1602,106,P4,23/2/24,26/2/24,NKS26,0,1,1,0,1,1,0,,,,
NA 73-2596,107,P2,27/10/23,30/10/23,NKS26,0,0,1,1,1,1,1,,,,
NA 73-2596,107,P1,27/10/23,31/10/23,NKS26,0,0,1,1,1,1,1,,,,
NA 73-2596,107,P2,30/1/24,31/1/24,NKS26,0,0,1,1,1,1,1,,,,
NA 73-2596,107,P2,23/2/24,26/2/24,NKS26,0,1,1,1,1,1,1,,,,
NA 73-2596,107,P3,23/2/24,26/2/24,NKS26,0,1,1,1,1,1,1,,,,
NA 76-128,108,P2,27/10/23,30/10/23,NKS26,1,0,1,1,1,1,0,,,,
NA 76-128,108,P1,30/1/24,31/1/24,NKS26,0,0,1,1,1,1,0,,,,
NA 76-128,108,P3,23/2/24,26/2/24,NKS26,0,1,1,1,1,1,0,,,,
NA 78-639,109,P2,27/10/23,30/10/23,NKS26,0,0,1,0,0,1,1,,,,
NA 78-639,109,P1,27/10/23,31/10/23,NKS26,0,0,1,0,0,1,1,,,,
NA 78-639,109,P2,30/1/24,31/1/24,NKS26,0,0,1,0,0,1,1,,,,
NA 78-639,109,P3,23/2/24,26/2/24,NKS26,0,0,1,0,1,1,1,,,,
NA 78-639,109,B1,23/9/24,2/9/2024,NKS26,0,0,1,0,0,1,1,,,,
NA 78-639,109,B1,23/9/24,25/9/24,NKS26,0,0,1,0,0,1,1,,,,
NA 97-3152,110,P1,30/1/24,31/1/24,NKS26,0,0,1,1,0,1,1,,,,
NA 97-3152,110,P1,23/2/24,26/2/24,NKS26,1,0,1,1,0,1,1,,,,
NA 97-3152,110,B1,23/9/24,25/9/24,NKS26,1,0,1,1,0,1,1,,,,
NA 97-3152,110,B2,23/9/24,25/9/24,NKS26,1,0,1,1,0,1,1,,,,
NA 12-166,111,P1,30/1/24,31/1/24,NKS26,1,1,1,1,1,1,1,,,,
NA 12-166,111,B1,23/9/24,25/9/24,NKS26,1,1,1,1,1,1,1,,,,
NA 12-166,111,B2,23/9/24,25/9/24,NKS26,1,1,1,1,1,1,1,,,,
NA 97-567,112,P1,30/1/24,31/1/24,NKS26,0,1,1,1,0,1,0,,,,
NA 97-567,112,P1,23/2/24,26/2/24,NKS26,1,0,1,1,0,1,0,,,,
NA 97-567,112,P1,19/1/24,26/2/24,NKS26,1,0,0,1,0,1,0,,,,
NA 96-2929,113,P1,30/1/24,31/1/24,NKS26,0,0,1,0,1,1,0,,,,
NA 96-2929,113,P1,23/2/24,26/2/24,NKS26,0,0,1,0,1,1,0,,,,
NA 96-2929,113,B1,28/8/24,2/9/2024,NKS26,0,0,1,0,1,1,0,,,,
NA 96-2929,113,B2,28/8/24,2/9/2024,NKS26,0,0,1,0,1,1,0,,,,
NA 96-2929,113,B1,23/9/24,25/9/24,NKS26,0,0,1,0,0,0,1,,,,
NA 96-2929,113,B2,23/9/24,25/9/24,NKS26,0,0,0,0,0,0,1,,,,
NA 89-1090,114,P1,30/1/24,31/1/24,NKS26,0,1,1,1,0,1,0,,,,
NA 89-1090,114,P1,19/1/24,26/2/24,NKS26,0,0,0,0,1,1,0,,,,
NA 90-1001,115,P1,30/1/24,31/1/24,NKS26,0,1,1,1,0,1,1,,,,
NA 90-1001,115,P1,23/2/24,26/2/24,NKS26,1,0,1,1,0,1,0,,,,
NA 98-597,116,P1,30/1/24,31/1/24,NKS26,0,1,1,1,0,1,0,,,,
NA 98-597,116,P1,23/2/24,26/2/24,NKS26,0,1,1,0,1,1,0,,,,
