variedad;codigo;planta_bulk;fecha ciclado;Ciclado;fecha vidrio;SSR;1;2;3;4;5;20;6;7;8;24;21;22;23;9;10;11;12;13;14
NA 84-3013;121;B1;24/04/25;;25/04/25;mSSCIR1;0;0;0;0;0;;1;1;1;;0;0;0;0;1;1;0;0;0
NA 12-1621;102;P5;29/04/25;;29/04/25;mSSCIR1;0;0;1;0;0;;1;1;0;;0;0;0;0;0;1;0;0;0
NA 12-1621;102;B2;29/04/25;;29/04/25;mSSCIR1;0;0;1;0;0;;1;1;0;;0;0;0;0;0;1;0;0;0
NA 05-2019;103;B2;29/04/25;;29/04/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;0;0;0;0
NA 05-2019;103;P2;29/04/25;;29/04/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;0;0;0;0
NA 84-3920;104;P2;29/04/25;;29/04/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;1;1;0;0
NA 87-146;105;P5;29/04/25;;29/04/25;mSSCIR1;0;0;1;0;1;;0;1;0;;0;0;0;0;0;1;1;0;0
NA 87-146;105;P3;29/04/25;;29/04/25;mSSCIR1;0;1;1;0;1;;0;1;0;;0;0;0;0;0;1;1;0;0
NA 12-166;111;B3;29/04/25;;29/04/25;mSSCIR1;0;0;0;0;0;;0;1;1;;0;0;0;1;0;0;1;1;1
NA 12-166;111;B3;29/04/25;;29/04/25;mSSCIR1;0;0;0;0;0;;0;1;1;;0;0;0;1;0;0;1;1;1
NA 96-2929;113;B3;29/04/25;;29/04/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;1;1;0;0
NA 96-2929;113;B2;29/04/25;;29/04/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;1;1;0;0
NA 96-2929;113;B1;29/04/25;;29/04/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;1;1;0;0
NA 03-3300;118;B1;29/04/25;;29/04/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;0;1;0;0
NA 03-3300;118;B2;29/04/25;;29/04/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;0;1;0;0
NA 03-3300;118;B3;29/04/25;;29/04/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;0;1;0;0
NA 05-860;120;B1;29/04/25;;29/04/25;mSSCIR1;0;1;1;0;1;;0;1;1;;0;0;0;0;0;1;1;0;0
